zOverallRank,Date,team,stat,value,zscore,rank
225,20251022,Winnipeg Jets,FOW%,49.3,-0.134959995,17
226,20251022,Calgary Flames,FOW%,49.3,-0.134959995,17
227,20251022,San Jose Sharks,FOW%,49.3,-0.134959995,17
228,20251022,Anaheim Ducks,PP%,20,-0.14481307,17
229,20251022,Columbus Blue Jackets,PP%,20,-0.14481307,17
230,20251022,New Jersey Devils,SCF%,49,-0.159524888,21
231,20251022,Detroit Red Wings,SCF%,49,-0.159524888,21
232,20251022,Toronto Maple Leafs,HDCO%,7.1,-0.166940176,14
233,20251022,Philadelphia Flyers,HDF%,48.4,-0.169475316,19
234,20251022,Ottawa Senators,Net Pen/60,-0.16,-0.171362843,17
235,20251022,Ottawa Senators,xGA,13.7,-0.178531595,18
236,20251022,Chicago Blackhawks,xGF,12.9,-0.193895799,17
237,20251022,New Jersey Devils,xGF,12.9,-0.193895799,17
238,20251022,Minnesota Wild,HDCO%,7,-0.1944767,15
239,20251022,Montreal Canadiens,SCF%,48.7,-0.221276458,23
240,20251022,Utah Mammoth,xGF,12.8,-0.236104408,19
241,20251022,Chicago Blackhawks,HDCO%,6.8,-0.249549748,16
242,20251022,Dallas Stars,HDF%,47.8,-0.256015903,20
243,20251022,Edmonton Oilers,HDF%,47.8,-0.256015903,20
244,20251022,Nashville Predators,FOW%,48.7,-0.27279148,20
245,20251022,Buffalo Sabres,HDCO%,6.7,-0.277086272,17
246,20251022,Winnipeg Jets,Pen Drawn/60,3.8,-0.277933636,20
247,20251022,Chicago Blackhawks,xGA,13.9,-0.28146873,19
248,20251022,Columbus Blue Jackets,xGA,13.9,-0.28146873,19
249,20251022,Minnesota Wild,CF%,49.2,-0.298292261,19
250,20251022,Seattle Kraken,HDCO%,6.6,-0.304622796,18
251,20251022,San Jose Sharks,xGF,12.6,-0.320521627,20
252,20251022,Montreal Canadiens,CF%,49.1,-0.321348668,20
253,20251022,Toronto Maple Leafs,CF%,49.1,-0.321348668,20
254,20251022,St. Louis Blues,PP%,18.75,-0.339193031,19
255,20251022,Vancouver Canucks,Pen Taken/60,4.33,-0.3457322,21
256,20251022,New Jersey Devils,HDF%,47.1,-0.356979921,22
257,20251022,Calgary Flames,Net Pen/60,-0.33,-0.358554383,18
258,20251022,Winnipeg Jets,HDCO%,6.4,-0.359695843,19
259,20251022,Vancouver Canucks,Pen Drawn/60,3.74,-0.361313727,21
260,20251022,Florida Panthers,HDC%,6.8,-0.362472657,18
261,20251022,Detroit Red Wings,HDC%,6.8,-0.362472657,18
262,20251022,Calgary Flames,PK%,75,-0.401276517,19
263,20251022,Vancouver Canucks,PK%,75,-0.401276517,19
264,20251022,Utah Mammoth,PK%,75,-0.401276517,19
265,20251022,Tampa Bay Lightning,xGF,12.4,-0.404938846,21
266,20251022,Anaheim Ducks,xGF,12.4,-0.404938846,21
267,20251022,New York Islanders,SCF%,47.8,-0.406531167,24
268,20251022,Edmonton Oilers,CF%,48.7,-0.413574294,22
269,20251022,Colorado Avalanche,HDC%,6.6,-0.424170131,20
270,20251022,Philadelphia Flyers,Net Pen/60,-0.39,-0.424621985,19
271,20251022,Chicago Blackhawks,PP%,18.18,-0.427830293,20
272,20251022,Washington Capitals,PP%,18.18,-0.427830293,20
273,20251022,St. Louis Blues,Net Pen/60,-0.4,-0.435633252,20
274,20251022,Boston Bruins,xGF,12.3,-0.447147455,23
275,20251022,Edmonton Oilers,HDCO%,6,-0.469841939,20
276,20251022,Columbus Blue Jackets,HDF%,46.3,-0.47236737,23
277,20251022,Philadelphia Flyers,HDCO%,5.9,-0.497378463,21
278,20251022,Los Angeles Kings,FOW%,47.7,-0.502510621,21
279,20251022,Minnesota Wild,FOW%,47.7,-0.502510621,21
280,20251022,Philadelphia Flyers,HDC%,6.3,-0.516716341,21
281,20251022,Calgary Flames,HDC%,6.3,-0.516716341,21
282,20251022,Washington Capitals,FOW%,47.6,-0.525482535,23
283,20251022,Philadelphia Flyers,CF%,48.2,-0.528856328,23
284,20251022,Dallas Stars,xGF,12.1,-0.531564674,24
285,20251022,Montreal Canadiens,PK%,73.68,-0.533790941,22
286,20251022,New York Islanders,PK%,73.68,-0.533790941,22
287,20251022,Vegas Golden Knights,PK%,73.68,-0.533790941,22
288,20251022,Toronto Maple Leafs,Net Pen/60,-0.49,-0.534734656,21
289,20251022,Boston Bruins,Net Pen/60,-0.5,-0.545745923,22
290,20251022,Los Angeles Kings,Pen Taken/60,4.52,-0.548242004,22
291,20251022,Dallas Stars,Pen Taken/60,4.52,-0.548242004,22
292,20251022,Vancouver Canucks,PP%,17.39,-0.550678428,22
293,20251022,Montreal Canadiens,PP%,17.39,-0.550678428,22
294,20251022,Pittsburgh Penguins,CF%,48,-0.574969141,24
295,20251022,Vancouver Canucks,HDCO%,5.6,-0.579988035,22
296,20251022,Florida Panthers,xGA,14.5,-0.590280137,21
297,20251022,San Jose Sharks,xGA,14.5,-0.590280137,21
298,20251022,Florida Panthers,FOW%,47.2,-0.617370191,24
299,20251022,Ottawa Senators,Pen Taken/60,4.6,-0.633509291,24
300,20251022,Columbus Blue Jackets,Pen Taken/60,4.6,-0.633509291,24
301,20251022,Los Angeles Kings,HDCO%,5.4,-0.635061082,23
302,20251022,Edmonton Oilers,Pen Drawn/60,3.54,-0.639247364,22
303,20251022,Dallas Stars,Net Pen/60,-0.59,-0.644847326,23
304,20251022,Vancouver Canucks,Net Pen/60,-0.59,-0.644847326,23
305,20251022,New Jersey Devils,Net Pen/60,-0.6,-0.655858593,25
306,20251022,Philadelphia Flyers,xGF,11.8,-0.658190501,25
307,20251022,Boston Bruins,PP%,16.67,-0.662641285,24
308,20251022,Boston Bruins,Pen Taken/60,4.64,-0.676142934,26
309,20251022,Minnesota Wild,PK%,72.22,-0.680359926,25
310,20251022,Philadelphia Flyers,Pen Drawn/60,3.51,-0.680937409,23
311,20251022,Boston Bruins,HDCO%,5.2,-0.69013413,24
312,20251022,Nashville Predators,xGA,14.7,-0.693217273,23
313,20251022,Dallas Stars,HDC%,5.7,-0.701808762,23
314,20251022,San Jose Sharks,HDF%,44.7,-0.703142268,24
315,20251022,Chicago Blackhawks,FOW%,46.8,-0.709257847,25
316,20251022,Boston Bruins,CF%,47.4,-0.713307581,25
317,20251022,Boston Bruins,SCF%,46.3,-0.715289016,25
318,20251022,Pittsburgh Penguins,Net Pen/60,-0.67,-0.732937463,26
319,20251022,Dallas Stars,SCF%,46.2,-0.735872872,26
320,20251022,Chicago Blackhawks,CF%,47.3,-0.736363987,26
321,20251022,Pittsburgh Penguins,xGA,14.8,-0.744685841,24
322,20251022,Toronto Maple Leafs,xGA,14.8,-0.744685841,24
323,20251022,New Jersey Devils,FOW%,46.6,-0.755201675,26
324,20251022,New York Rangers,HDC%,5.5,-0.763506235,24
325,20251022,Carolina Hurricanes,HDCO%,4.9,-0.772743702,25
326,20251022,New York Islanders,HDCO%,4.9,-0.772743702,25
327,20251022,Tampa Bay Lightning,CF%,47.1,-0.782476801,27
328,20251022,Minnesota Wild,HDC%,5.4,-0.794354972,25
329,20251022,Pittsburgh Penguins,HDC%,5.4,-0.794354972,25
330,20251022,Seattle Kraken,xGA,14.9,-0.796154409,26
331,20251022,Philadelphia Flyers,PP%,15.79,-0.799484777,25
332,20251022,Chicago Blackhawks,HDF%,43.9,-0.818529718,25
333,20251022,Buffalo Sabres,HDC%,5.3,-0.825203709,27
334,20251022,New York Islanders,xGF,11.4,-0.827024939,26
335,20251022,Detroit Red Wings,xGF,11.4,-0.827024939,26
336,20251022,New Jersey Devils,Pen Drawn/60,3.4,-0.833800909,24
337,20251022,Columbus Blue Jackets,Pen Drawn/60,3.4,-0.833800909,24
338,20251022,Washington Capitals,PK%,70.59,-0.843995163,26
