"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"79","0:41","0.1","NICK SCHMALTZ - MICHAEL CARCONE - BARRETT HAYTON","0","0","0","0","0","0.0","1","1","50.0"
"80","0:41","0.1","LAWSON CROUSE - KAILER YAMAMOTO - BARRETT HAYTON","0","0","0","0","0","0.0","0","0","0.0"
"81","0:40","0.1","DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"82","0:39","0.1","NICK BJUGSTAD - ALEXANDER KERFOOT - JOSH DOAN","0","0","0","0","1","0.0","0","1","0.0"
"83","0:39","0.1","NICK SCHMALTZ - CLAYTON KELLER - KAILER YAMAMOTO","0","0","0","0","0","0.0","0","0","0.0"
"84","0:39","0.1","NICK BJUGSTAD - LAWSON CROUSE - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"85","0:38","0.1","KAILER YAMAMOTO - JJ PETERKA - LOGAN COOLEY","0","0","0","0","0","0.0","1","0","100.0"
"86","0:37","0.1","ALEXANDER KERFOOT - JACK MCBAIN - JOSH DOAN","0","0","0","0","0","0.0","0","0","0.0"
"87","0:34","0.1","LAWSON CROUSE - BARRETT HAYTON - JOSH DOAN","0","0","0","0","0","0.0","0","0","0.0"
"88","0:34","0.1","CLAYTON KELLER - KAILER YAMAMOTO - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"89","0:34","0.1","NICK SCHMALTZ - BARRETT HAYTON - LOGAN COOLEY","0","0","0","0","1","0.0","0","2","0.0"
"90","0:34","0.1","LAWSON CROUSE - MICHAEL CARCONE - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"91","0:33","0.1","NICK SCHMALTZ - JACK MCBAIN - JJ PETERKA","0","0","0","0","0","0.0","0","0","0.0"
"92","0:32","0.1","NICK BJUGSTAD - KAILER YAMAMOTO - KEVIN STENLUND","0","0","0","1","0","100.0","1","0","100.0"
"93","0:32","0.1","CLAYTON KELLER - KEVIN STENLUND - JACK MCBAIN","0","0","0","0","0","0.0","0","0","0.0"
"94","0:31","0.1","LAWSON CROUSE - NICK SCHMALTZ - JACK MCBAIN","0","0","0","0","0","0.0","0","0","0.0"
"95","0:31","0.1","ANDREW AGOZZINO - NICK SCHMALTZ - CLAYTON KELLER","0","0","0","0","0","0.0","0","0","0.0"
"96","0:30","0.1","KEVIN STENLUND - JACK MCBAIN - DYLAN GUENTHER","0","0","0","0","0","0.0","0","2","0.0"
"97","0:30","0.1","CLAYTON KELLER - JACK MCBAIN - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"98","0:29","0.1","NICK BJUGSTAD - NICK SCHMALTZ - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"99","0:29","0.1","LAWSON CROUSE - CLAYTON KELLER - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"100","0:29","0.1","MICHAEL CARCONE - JACK MCBAIN - DYLAN GUENTHER","0","0","0","0","0","0.0","0","0","0.0"
