"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"151","0:12","0.0","BARCLAY GOODROW - TY DELLANDREA - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"152","0:12","0.0","JEFF SKINNER - TY DELLANDREA - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"153","0:12","0.0","TY DELLANDREA - NOAH GREGOR","0","0","0","0","1","0.0","0","1","0.0"
"154","0:11","0.0","ALEXANDER WENNBERG - ADAM GAUDETTE - MICHAEL MISA","0","0","0","0","0","0.0","0","1","0.0"
"155","0:11","0.0","BARCLAY GOODROW - NIKOLAI KOVALENKO - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"156","0:11","0.0","ALEXANDER WENNBERG - TY DELLANDREA - NIKOLAI KOVALENKO - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"157","0:11","0.0","ALEXANDER WENNBERG - CARL GRUNDSTROM - ZACK OSTAPCHUK - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"158","0:10","0.0","ADAM GAUDETTE - PHILIPP KURASHEV - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"159","0:10","0.0","TYLER TOFFOLI - CARL GRUNDSTROM - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"160","0:10","0.0","ALEXANDER WENNBERG - BARCLAY GOODROW - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"161","0:10","0.0","TYLER TOFFOLI - PHILIPP KURASHEV - WILL SMITH - MACKLIN CELEBRINI","1","0","1","1","0","100.0","1","0","100.0"
"162","0:10","0.0","TYLER TOFFOLI - ALEXANDER WENNBERG - COLLIN GRAF","0","0","0","0","0","0.0","1","0","100.0"
"163","0:10","0.0","TYLER TOFFOLI - TY DELLANDREA - NOAH GREGOR","1","0","1","2","0","100.0","2","0","100.0"
"164","0:09","0.0","BARCLAY GOODROW - NOAH GREGOR - NIKOLAI KOVALENKO","0","0","0","0","0","0.0","0","0","0.0"
"165","0:09","0.0","TYLER TOFFOLI - TY DELLANDREA - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
